cs122b	[(1351, 11), (1352, 10), (1354, 2), (1355, 10), (1356, 25), (1357, 2), (1359, 2), (1360, 18), (1367, 11), (1369, 15), (1372, 21), (1376, 12), (1377, 2), (1379, 3), (1381, 3), (1382, 15), (1389, 22), (1396, 9), (1398, 16), (1400, 11)]
2018	[(1351, 12), (1354, 9), (1355, 11), (1356, 1), (1357, 1), (1358, 3), (1359, 7), (1360, 1), (1361, 12), (1367, 12), (1368, 3), (1373, 10), (1374, 1), (1375, 8), (1376, 10), (1377, 1), (1378, 1), (1382, 12), (1389, 18), (1392, 13), (1393, 8), (1396, 10), (1398, 1), (1400, 6.5)]
winter	[(1351, 11), (1352, 8), (1355, 10), (1356, 22), (1360, 15), (1367, 11), (1374, 2), (1377, 1), (1378, 3), (1396, 9), (1398, 13), (1400, 3)]
project2	[(1351, 12), (1355, 12), (1356, 4), (1358, 3), (1360, 4), (1367, 1), (1380, 13), (1382, 2), (1385, 3), (1389, 8), (1395, 2), (1398, 3)]
diff	[(1351, 2), (1352, 1), (1355, 2), (1358, 1), (1361, 2), (1362, 2), (1363, 2), (1364, 2), (1365, 2), (1367, 2), (1368, 2), (1369, 2), (1370, 1), (1372, 2), (1373, 2), (1375, 1), (1376, 2), (1380, 2), (1384, 1), (1386, 2), (1387, 2), (1388, 1), (1390, 2), (1391, 2), (1392, 2), (1393, 1), (1394, 2), (1396, 2), (1399, 2), (1400, 1)]
public	[(1351, 3), (1352, 2), (1353, 5), (1355, 2), (1356, 8), (1358, 7), (1360, 7), (1361, 2), (1362, 2), (1363, 2), (1364, 3), (1365, 2), (1366, 6), (1367, 4), (1368, 8), (1369, 3), (1370, 2), (1371, 2), (1372, 3), (1375, 3), (1376, 2), (1380, 2), (1382, 5), (1384, 2), (1385, 7), (1387, 2), (1388, 3), (1389, 7), (1390, 2), (1391, 2), (1392, 4), (1393, 3), (1394, 2), (1395, 4), (1396, 2), (1398, 5), (1399, 2), (1400, 5)]
chang	[(1351, 7), (1352, 3), (1353, 4), (1354, 1), (1355, 7), (1356, 2), (1357, 1), (1358, 2), (1359, 1), (1360, 2), (1361, 7), (1362, 8), (1363, 7), (1364, 7), (1365, 7), (1366, 1), (1367, 7), (1368, 7), (1369, 7), (1370, 2), (1371, 4), (1372, 7), (1373, 7), (1376, 7), (1377, 1), (1379, 1), (1380, 8), (1381, 1), (1382, 2), (1384, 3), (1385, 1), (1386, 7), (1387, 8), (1389, 2), (1390, 8), (1391, 7), (1392, 7), (1394, 7), (1396, 8), (1397, 1), (1398, 2), (1399, 7), (1400, 4)]
between	[(1351, 2), (1354, 1), (1355, 2), (1357, 1), (1358, 1), (1359, 1), (1361, 2), (1362, 2), (1363, 2), (1364, 2), (1365, 2), (1367, 2), (1368, 2), (1369, 2), (1372, 2), (1373, 2), (1376, 2), (1377, 3), (1380, 2), (1386, 2), (1387, 2), (1390, 2), (1391, 2), (1392, 2), (1394, 2), (1396, 2), (1399, 2), (1400, 2)]
version	[(1351, 6), (1352, 2), (1353, 4), (1355, 6), (1358, 2), (1361, 6), (1362, 6), (1363, 6), (1364, 6), (1365, 6), (1367, 6), (1368, 6), (1369, 6), (1370, 2), (1372, 6), (1373, 6), (1375, 2), (1376, 6), (1380, 6), (1384, 2), (1385, 1), (1386, 6), (1387, 6), (1388, 2), (1390, 6), (1391, 6), (1392, 6), (1393, 2), (1394, 6), (1395, 1), (1396, 6), (1397, 1), (1399, 6), (1400, 6)]
4	[(1351, 2), (1352, 2), (1353, 12), (1354, 11), (1356, 3), (1357, 10), (1358, 12), (1359, 10), (1360, 1), (1361, 2), (1363, 1), (1366, 2), (1367, 1), (1368, 2), (1370, 15), (1374, 1), (1375, 7), (1376, 1), (1377, 3), (1378, 3), (1379, 2), (1380, 3), (1381, 13), (1382, 3), (1384, 6), (1385, 11), (1388, 9), (1389, 3), (1390, 1), (1392, 1), (1393, 7), (1394, 2), (1395, 7), (1397, 1), (1398, 1), (1399, 1), (1400, 6)]
and	[(1351, 6), (1352, 15), (1353, 42), (1354, 41), (1355, 4), (1356, 16), (1357, 42), (1358, 40), (1359, 42), (1360, 16), (1361, 25), (1362, 2), (1363, 3), (1364, 3), (1365, 4), (1366, 53), (1367, 3), (1368, 2), (1369, 2), (1370, 43), (1371, 6), (1372, 2), (1373, 13), (1374, 49), (1375, 50), (1376, 5), (1377, 35), (1378, 55), (1379, 21), (1380, 3), (1381, 21), (1382, 17), (1383, 12), (1384, 24), (1385, 63), (1386, 3), (1387, 2), (1388, 64), (1389, 17), (1390, 2), (1391, 2), (1392, 3), (1393, 50), (1394, 10), (1395, 51), (1396, 2), (1398, 16), (1399, 2), (1400, 56.0)]
5	[(1351, 2), (1352, 5), (1353, 4), (1354, 31), (1355, 1), (1356, 3), (1357, 31), (1358, 1), (1359, 31), (1360, 2), (1365, 1), (1366, 3), (1367, 2), (1368, 2), (1369, 3), (1370, 11), (1371, 1), (1373, 1), (1374, 1), (1375, 11), (1376, 2), (1377, 2), (1378, 3), (1379, 6), (1380, 4), (1381, 20), (1382, 4), (1384, 1), (1385, 5), (1386, 7), (1388, 14), (1389, 4), (1393, 11), (1394, 1), (1395, 4), (1396, 2), (1397, 3), (1398, 2), (1399, 2), (1400, 7)]
of	[(1351, 6), (1352, 8), (1353, 48), (1354, 28), (1355, 3), (1356, 12), (1357, 28), (1358, 52), (1359, 28), (1360, 12), (1361, 10), (1362, 2), (1363, 2), (1364, 2), (1365, 2), (1366, 71), (1367, 2), (1368, 2), (1369, 2), (1370, 23), (1371, 4), (1372, 2), (1373, 10), (1374, 17), (1375, 23.5), (1376, 3), (1377, 20), (1378, 24), (1379, 17), (1380, 4), (1381, 13), (1382, 12), (1383, 5), (1384, 20), (1385, 29), (1386, 2), (1387, 2), (1388, 34), (1389, 12), (1390, 4), (1391, 2), (1392, 4), (1393, 23.5), (1394, 4), (1395, 21), (1396, 2), (1397, 1), (1398, 12), (1399, 2), (1400, 32)]
context	[(1351, 3), (1352, 2), (1355, 3), (1358, 2), (1361, 3), (1362, 3), (1363, 3), (1364, 3), (1365, 3), (1367, 3), (1368, 3), (1369, 3), (1370, 2), (1371, 2), (1372, 3), (1373, 3), (1375, 2), (1376, 3), (1380, 3), (1384, 2), (1386, 3), (1387, 3), (1388, 2), (1390, 3), (1391, 3), (1392, 3), (1393, 2), (1394, 3), (1396, 3), (1399, 3), (1400, 2)]
navig	[(1351, 2), (1352, 2), (1355, 2), (1358, 2), (1361, 2), (1362, 2), (1363, 2), (1364, 2), (1365, 2), (1367, 2), (1368, 2), (1369, 2), (1370, 2), (1371, 2), (1372, 2), (1373, 2), (1375, 2), (1376, 2), (1377, 4), (1380, 2), (1384, 2), (1386, 2), (1387, 2), (1388, 2), (1390, 2), (1391, 2), (1392, 2), (1393, 2), (1394, 2), (1396, 2), (1399, 2), (1400, 2)]
legend	[(1351, 2), (1355, 2), (1361, 2), (1362, 2), (1363, 2), (1364, 2), (1365, 2), (1367, 2), (1368, 2), (1369, 2), (1372, 2), (1373, 2), (1376, 2), (1380, 2), (1386, 2), (1387, 2), (1390, 2), (1391, 2), (1392, 2), (1394, 2), (1396, 2), (1399, 2)]
trac	[(1351, 5), (1352, 5), (1355, 5), (1358, 5), (1361, 5), (1362, 5), (1363, 5), (1364, 5), (1365, 5), (1367, 5), (1368, 5), (1369, 5), (1370, 5), (1371, 5), (1372, 5), (1373, 5), (1375, 5), (1376, 5), (1380, 5), (1384, 5), (1386, 5), (1387, 5), (1388, 5), (1390, 5), (1391, 5), (1392, 5), (1393, 5), (1394, 5), (1396, 5), (1399, 5), (1400, 5)]
1	[(1351, 6), (1352, 8), (1353, 18), (1354, 18), (1355, 3), (1356, 8), (1357, 18), (1358, 14), (1359, 18), (1360, 7), (1361, 5), (1362, 2), (1363, 3), (1364, 2), (1365, 5), (1366, 15), (1367, 3), (1368, 4), (1369, 2), (1370, 12), (1371, 3), (1372, 2), (1373, 2), (1374, 15), (1375, 13), (1376, 6), (1377, 5), (1378, 17), (1379, 8), (1380, 6), (1381, 24), (1382, 7), (1383, 2), (1384, 10), (1385, 12), (1386, 2), (1387, 6), (1388, 20), (1389, 8), (1390, 3), (1391, 3), (1392, 6.5), (1393, 14), (1394, 5), (1395, 11), (1396, 2), (1397, 2), (1398, 7), (1399, 3), (1400, 23.0)]
0	[(1351, 2), (1352, 5), (1353, 1), (1355, 3), (1356, 1), (1358, 2), (1360, 1), (1361, 2), (1362, 2), (1363, 2), (1364, 2), (1365, 2), (1366, 15), (1367, 2), (1368, 2), (1369, 2), (1370, 3), (1371, 2), (1372, 2), (1373, 2), (1375, 8), (1376, 2), (1380, 6), (1381, 1), (1382, 1), (1384, 4), (1385, 2), (1386, 2), (1387, 2), (1388, 6), (1389, 2), (1390, 2), (1391, 2), (1392, 2), (1393, 8), (1394, 4), (1395, 1), (1396, 2), (1398, 3), (1399, 2), (1400, 4)]
13	[(1351, 2), (1352, 2), (1354, 1), (1355, 2), (1356, 2), (1357, 1), (1358, 2), (1359, 1), (1360, 1), (1361, 2), (1362, 2), (1363, 2), (1364, 2), (1365, 2), (1367, 2), (1368, 2), (1369, 2), (1370, 5), (1371, 2), (1372, 2), (1373, 2), (1375, 6), (1376, 2), (1380, 5), (1382, 1), (1383, 1), (1384, 3), (1385, 3), (1386, 3), (1387, 2), (1388, 4), (1389, 1), (1390, 2), (1391, 2), (1392, 3), (1393, 5), (1394, 2), (1395, 1), (1396, 2), (1398, 1), (1399, 3), (1400, 2)]
loginpreferencesabout	[(1351, 1), (1352, 1), (1355, 1), (1358, 1), (1361, 1), (1362, 1), (1363, 1), (1364, 1), (1365, 1), (1367, 1), (1368, 1), (1369, 1), (1370, 1), (1371, 1), (1372, 1), (1373, 1), (1375, 1), (1376, 1), (1380, 1), (1384, 1), (1386, 1), (1387, 1), (1388, 1), (1390, 1), (1391, 1), (1392, 1), (1393, 1), (1394, 1), (1396, 1), (1399, 1), (1400, 1)]
previou	[(1351, 1), (1352, 1), (1355, 1), (1356, 1), (1358, 1), (1360, 1), (1361, 1), (1362, 1), (1363, 1), (1364, 1), (1365, 3), (1367, 1), (1368, 1), (1369, 1), (1370, 1), (1371, 1), (1372, 1), (1373, 1), (1375, 1), (1376, 1), (1377, 2), (1380, 1), (1382, 1), (1384, 1), (1386, 1), (1387, 1), (1388, 1), (1389, 1), (1390, 1), (1391, 1), (1392, 1), (1393, 1), (1394, 1), (1396, 1), (1398, 1), (1399, 1), (1400, 1)]
changewiki	[(1351, 1), (1355, 1), (1361, 1), (1362, 1), (1363, 1), (1364, 1), (1365, 1), (1367, 1), (1368, 1), (1369, 1), (1372, 1), (1373, 1), (1376, 1), (1380, 1), (1386, 1), (1387, 1), (1390, 1), (1391, 1), (1392, 1), (1394, 1), (1396, 1), (1399, 1)]
historynext	[(1351, 1), (1355, 1), (1361, 1), (1362, 1), (1363, 1), (1364, 1), (1365, 1), (1367, 1), (1368, 1), (1369, 1), (1372, 1), (1373, 1), (1376, 1), (1380, 1), (1386, 1), (1387, 1), (1390, 1), (1391, 1), (1392, 1), (1394, 1), (1396, 1), (1399, 1)]
view	[(1351, 1), (1354, 1), (1355, 1), (1357, 1), (1359, 1), (1361, 1), (1362, 1), (1363, 1), (1364, 1), (1365, 1), (1367, 1), (1368, 1), (1369, 1), (1372, 1), (1373, 1), (1375, 1), (1376, 1), (1380, 1), (1381, 2), (1385, 1), (1386, 1), (1387, 1), (1388, 1), (1390, 1), (1391, 1), (1392, 1), (1393, 1), (1394, 1), (1395, 1), (1396, 1), (1399, 1), (1400, 1)]
differ	[(1351, 1), (1353, 1), (1354, 2), (1355, 1), (1357, 2), (1358, 1), (1359, 2), (1361, 1), (1362, 1), (1363, 1), (1364, 1), (1365, 1), (1366, 2), (1367, 1), (1368, 1), (1369, 1), (1372, 1), (1373, 1), (1375, 2), (1376, 1), (1377, 3), (1380, 1), (1383, 1), (1385, 2), (1386, 1), (1387, 1), (1388, 2), (1390, 1), (1391, 1), (1392, 1), (1393, 2), (1394, 1), (1395, 2), (1396, 1), (1399, 1), (1400, 1)]
inlin	[(1351, 1), (1355, 1), (1361, 1), (1362, 1), (1363, 1), (1364, 1), (1365, 1), (1367, 1), (1368, 1), (1369, 1), (1372, 1), (1373, 1), (1376, 1), (1380, 1), (1386, 1), (1387, 1), (1390, 1), (1391, 1), (1392, 1), (1394, 1), (1396, 1), (1399, 1)]
side	[(1351, 2), (1355, 2), (1361, 2), (1362, 2), (1363, 2), (1364, 2), (1365, 2), (1367, 2), (1368, 2), (1369, 2), (1372, 2), (1373, 2), (1375, 4), (1376, 2), (1380, 2), (1385, 2), (1386, 2), (1387, 2), (1388, 2), (1390, 2), (1391, 2), (1392, 2), (1393, 4), (1394, 2), (1395, 4), (1396, 2), (1399, 2), (1400, 1)]
by	[(1351, 4), (1352, 17), (1353, 17), (1354, 4), (1355, 3), (1356, 1), (1357, 4), (1358, 15), (1359, 4), (1360, 1), (1361, 8), (1362, 3), (1363, 3), (1364, 3), (1365, 3), (1366, 23), (1367, 3), (1368, 3), (1369, 3), (1370, 6), (1371, 4), (1372, 3), (1373, 3), (1374, 5), (1375, 40), (1376, 3), (1377, 6), (1378, 8), (1379, 4), (1380, 3), (1381, 2), (1382, 1), (1383, 2), (1384, 6), (1385, 10), (1386, 3), (1387, 3), (1388, 49), (1389, 1), (1390, 3), (1391, 3), (1392, 3), (1393, 40), (1394, 3), (1395, 10), (1396, 3), (1397, 3), (1398, 1), (1399, 3), (1400, 24)]
show	[(1351, 4), (1352, 1), (1355, 3), (1356, 1), (1358, 1), (1360, 1), (1361, 2), (1362, 2), (1363, 2), (1364, 2), (1365, 2), (1367, 2), (1368, 2), (1369, 2), (1372, 2), (1373, 2), (1376, 2), (1377, 3), (1380, 2), (1382, 1), (1386, 2), (1387, 2), (1389, 1), (1390, 2), (1391, 2), (1392, 2), (1394, 2), (1396, 2), (1397, 2), (1398, 1), (1399, 2), (1400, 5)]
line	[(1351, 2), (1353, 1), (1354, 3), (1355, 2), (1357, 3), (1358, 1), (1359, 3), (1361, 2), (1362, 2), (1363, 2), (1364, 2), (1365, 2), (1367, 2), (1368, 2), (1369, 2), (1372, 2), (1373, 2), (1376, 2), (1379, 3), (1380, 2), (1381, 3), (1383, 3), (1386, 2), (1387, 2), (1390, 2), (1391, 2), (1392, 2), (1394, 2), (1396, 2), (1399, 2), (1400, 1)]
around	[(1351, 1), (1354, 1), (1355, 1), (1357, 1), (1359, 1), (1361, 1), (1362, 1), (1363, 1), (1364, 1), (1365, 1), (1366, 1), (1367, 1), (1368, 1), (1369, 1), (1372, 1), (1373, 1), (1374, 1), (1376, 1), (1378, 1), (1379, 1), (1380, 1), (1386, 1), (1387, 1), (1390, 1), (1391, 1), (1392, 1), (1394, 1), (1396, 1), (1399, 1)]
each	[(1351, 1), (1352, 6), (1353, 3), (1354, 3), (1355, 1), (1356, 8), (1357, 3), (1358, 6), (1359, 3), (1360, 8), (1361, 2), (1362, 1), (1363, 1), (1364, 1), (1365, 1), (1366, 15), (1367, 1), (1368, 1), (1369, 1), (1370, 9), (1371, 2), (1372, 1), (1373, 1), (1375, 5), (1376, 4), (1377, 5), (1378, 2), (1379, 1), (1380, 1), (1381, 7), (1382, 8), (1383, 1), (1384, 9), (1385, 4), (1386, 1), (1387, 1), (1388, 4), (1389, 8), (1390, 1), (1391, 1), (1392, 1), (1393, 5), (1394, 1), (1395, 4), (1396, 1), (1398, 8), (1399, 1), (1400, 3)]
