cs122b	[(1051, 3), (1052, 21), (1053, 9), (1054, 4), (1056, 3), (1058, 7), (1064, 2), (1065, 1), (1066, 3), (1072, 2), (1073, 3), (1075, 8), (1076, 2), (1080, 7), (1084, 8), (1086, 12), (1087, 8), (1090, 2), (1093, 10.5), (1098, 9), (1099, 7)]
2018	[(1051, 4), (1053, 10), (1056, 3), (1057, 8), (1058, 2), (1059, 10), (1064, 44), (1065, 1), (1067, 1), (1069, 12), (1071, 7), (1072, 2), (1076, 1), (1077, 10), (1079, 1), (1080, 7), (1086, 9), (1087, 5.5), (1090, 44), (1094, 10), (1096, 10), (1097, 10)]
spring	[(1051, 3), (1053, 9), (1055, 9), (1056, 3), (1057, 5), (1061, 9), (1064, 8), (1067, 9), (1072, 10), (1076, 1), (1079, 11), (1080, 7), (1089, 9), (1090, 8), (1092, 3), (1094, 9)]
project2	[(1051, 15), (1052, 7), (1056, 15), (1060, 2), (1065, 18), (1066, 6), (1069, 2), (1073, 15), (1074, 1), (1078, 2), (1079, 2), (1082, 1), (1095, 1), (1099, 9)]
public	[(1051, 2), (1052, 6), (1053, 2), (1054, 4), (1055, 2), (1056, 2), (1058, 4), (1060, 4), (1061, 2), (1062, 2), (1063, 10), (1066, 2), (1068, 4), (1069, 4), (1070, 2), (1071, 2), (1073, 2), (1074, 3), (1075, 2), (1078, 6), (1079, 9), (1080, 2), (1082, 3), (1083, 2), (1084, 2), (1086, 12), (1087, 2), (1088, 8), (1089, 2), (1091, 3), (1092, 6), (1093, 4), (1095, 3), (1096, 3), (1098, 2), (1099, 3), (1100, 2)]
project	[(1051, 25.0), (1052, 24), (1053, 1), (1054, 17), (1055, 1), (1056, 25.0), (1057, 24), (1058, 22), (1059, 1), (1060, 38), (1061, 1), (1062, 17.5), (1063, 6), (1064, 3), (1065, 18), (1066, 22.5), (1067, 1), (1068, 42.0), (1069, 5), (1070, 16.0), (1071, 1), (1072, 3), (1073, 22), (1074, 52.5), (1075, 15.0), (1076, 2), (1077, 1), (1078, 39), (1079, 19), (1080, 1), (1081, 8), (1082, 52.5), (1083, 1), (1084, 15.0), (1085, 3), (1086, 7), (1087, 12.5), (1088, 12), (1089, 12), (1090, 3), (1091, 52.5), (1092, 19), (1093, 34.0), (1094, 1), (1095, 54.5), (1096, 48.5), (1097, 3), (1098, 1), (1099, 13), (1100, 34)]
2	[(1051, 12), (1052, 7), (1053, 3), (1054, 6), (1056, 12), (1057, 17), (1058, 20), (1059, 2), (1060, 8), (1061, 5), (1062, 4), (1063, 10), (1064, 35), (1065, 7), (1066, 11.5), (1068, 18.5), (1069, 6), (1070, 4), (1072, 38), (1073, 8), (1074, 31), (1075, 11.0), (1076, 14), (1077, 3), (1078, 10), (1079, 14), (1080, 1), (1082, 31), (1083, 1), (1084, 11.0), (1085, 1), (1086, 22), (1087, 13.5), (1088, 2), (1089, 15), (1090, 36), (1091, 34), (1092, 20), (1093, 27.5), (1095, 31), (1096, 12), (1097, 10), (1099, 6), (1100, 7)]
start	[(1051, 7), (1054, 2), (1056, 6), (1058, 1), (1060, 2), (1063, 1), (1064, 1), (1065, 5), (1066, 5), (1068, 2), (1072, 1), (1073, 5), (1074, 2), (1075, 4), (1076, 1), (1078, 2), (1079, 1), (1082, 2), (1084, 4), (1086, 5), (1087, 2), (1088, 2), (1090, 1), (1091, 2), (1092, 4), (1093, 1), (1095, 2), (1099, 4), (1100, 2)]
fabflix	[(1051, 4), (1054, 21), (1056, 4), (1058, 12), (1065, 3), (1066, 3), (1073, 3), (1075, 12), (1084, 12), (1086, 15), (1087, 12), (1093, 20), (1099, 6)]
busi	[(1051, 3), (1056, 3), (1058, 2), (1065, 2), (1066, 2), (1073, 2), (1079, 1), (1093, 2), (1099, 2)]
context	[(1051, 2), (1053, 3), (1055, 3), (1056, 2), (1057, 2), (1059, 3), (1061, 3), (1062, 2), (1064, 2), (1066, 2), (1067, 3), (1068, 2), (1069, 3), (1070, 2), (1071, 2), (1072, 2), (1074, 2), (1075, 2), (1077, 3), (1080, 2), (1082, 2), (1083, 3), (1084, 2), (1086, 5), (1087, 2), (1088, 2), (1089, 3), (1090, 2), (1091, 2), (1092, 2), (1093, 2), (1094, 3), (1095, 2), (1096, 2), (1097, 3), (1098, 3)]
navig	[(1051, 3), (1053, 2), (1054, 2), (1055, 2), (1056, 3), (1057, 2), (1059, 2), (1061, 2), (1062, 2), (1064, 2), (1065, 1), (1066, 3), (1067, 2), (1068, 2), (1069, 2), (1070, 2), (1071, 2), (1072, 2), (1073, 1), (1074, 2), (1075, 6), (1077, 2), (1080, 2), (1082, 2), (1083, 2), (1084, 6), (1087, 6), (1088, 2), (1089, 2), (1090, 2), (1091, 2), (1092, 2), (1093, 2), (1094, 2), (1095, 2), (1096, 2), (1097, 2), (1098, 2), (1099, 1)]
overview	[(1051, 3), (1052, 3), (1056, 3), (1057, 3), (1063, 1), (1064, 1), (1065, 4), (1066, 3), (1068, 3), (1073, 4), (1074, 1), (1078, 1), (1079, 4), (1082, 1), (1086, 1), (1090, 1), (1092, 2), (1095, 1), (1099, 4)]
step	[(1051, 13), (1052, 2), (1054, 11), (1056, 13), (1058, 13), (1062, 1), (1065, 8), (1066, 8), (1068, 3), (1070, 1), (1073, 8), (1075, 26.5), (1081, 1), (1084, 26.5), (1086, 17), (1087, 26.5), (1089, 1), (1093, 13), (1099, 5)]
by	[(1051, 19), (1052, 1), (1053, 3), (1054, 6), (1055, 3), (1056, 20), (1057, 44), (1058, 14), (1059, 3), (1060, 10), (1061, 3), (1062, 8), (1063, 1), (1064, 102), (1065, 13), (1066, 20), (1067, 3), (1068, 26), (1069, 3), (1070, 8), (1071, 2), (1072, 110), (1073, 14), (1074, 38), (1075, 13), (1076, 4), (1077, 3), (1078, 10), (1079, 3), (1080, 2), (1081, 2), (1082, 38), (1083, 3), (1084, 13), (1085, 2), (1086, 10), (1087, 14), (1088, 26), (1089, 4), (1090, 102), (1091, 45), (1092, 6), (1093, 17), (1094, 3), (1095, 38), (1096, 33), (1097, 3), (1098, 4), (1099, 11), (1100, 10)]
frontend	[(1051, 8), (1054, 1), (1056, 8), (1058, 2), (1065, 7), (1066, 3), (1073, 8), (1075, 4), (1084, 4), (1086, 1), (1087, 3), (1093, 2)]
backend	[(1051, 9), (1054, 1), (1056, 9), (1058, 2), (1065, 8), (1066, 2), (1073, 8), (1075, 4), (1084, 4), (1086, 11), (1087, 2), (1093, 2), (1099, 1)]
separ	[(1051, 6), (1054, 1), (1056, 6), (1064, 1), (1065, 5), (1066, 2), (1072, 1), (1073, 5), (1076, 1), (1088, 1), (1090, 1)]
and	[(1051, 77.0), (1052, 13), (1053, 8), (1054, 33), (1055, 2), (1056, 77.0), (1057, 34), (1058, 60), (1059, 2), (1060, 51), (1061, 2), (1062, 14), (1063, 26), (1064, 51.5), (1065, 69), (1066, 28.5), (1067, 5), (1068, 43), (1069, 2), (1070, 14), (1072, 54.5), (1073, 67), (1074, 63), (1075, 42), (1076, 42), (1077, 7), (1078, 54), (1079, 43), (1081, 13), (1082, 62), (1083, 4), (1084, 41), (1085, 3), (1086, 41), (1087, 45), (1088, 53), (1089, 31), (1090, 50.5), (1091, 52), (1092, 27), (1093, 64), (1094, 3), (1095, 63), (1096, 58), (1097, 12), (1098, 2), (1099, 64), (1100, 58)]
datasourc	[(1051, 5), (1056, 5), (1065, 5), (1073, 4), (1086, 1)]
option	[(1051, 8), (1054, 1), (1056, 8), (1058, 4), (1060, 2), (1063, 2), (1065, 5), (1068, 2), (1073, 5), (1074, 5), (1075, 11.5), (1078, 2), (1082, 5), (1084, 11.5), (1086, 1), (1087, 7.5), (1088, 1), (1089, 1), (1091, 2), (1093, 6), (1095, 5), (1096, 5), (1099, 3), (1100, 3)]
form	[(1051, 13), (1052, 2), (1056, 13), (1060, 1), (1064, 1), (1065, 11), (1072, 1), (1073, 11), (1074, 1), (1076, 1), (1078, 1), (1079, 1), (1082, 1), (1089, 1), (1090, 1), (1091, 1), (1095, 1), (1099, 5), (1100, 1)]
exampl	[(1051, 58), (1052, 4), (1053, 2), (1054, 10), (1056, 58), (1058, 14), (1063, 3), (1064, 7), (1065, 55), (1066, 8), (1068, 3), (1072, 5), (1073, 54), (1075, 17), (1076, 6), (1079, 1), (1084, 15), (1086, 4), (1087, 13), (1088, 8), (1089, 4), (1090, 8), (1092, 5), (1093, 12), (1099, 20)]
servlet	[(1051, 15.5), (1052, 1), (1054, 2), (1056, 15.5), (1065, 15), (1066, 2), (1073, 15), (1086, 8), (1087, 1), (1099, 26)]
session	[(1051, 14), (1052, 1), (1056, 14), (1064, 5), (1065, 14), (1066, 1), (1072, 5), (1073, 14), (1075, 2), (1076, 5), (1084, 2), (1086, 18), (1090, 5), (1099, 7)]
jsp	[(1051, 19.5), (1052, 2), (1056, 19.5), (1065, 21), (1066, 2), (1068, 1), (1073, 21), (1099, 15)]
deploy	[(1051, 11), (1052, 2), (1054, 1), (1056, 11), (1058, 3), (1062, 4.5), (1065, 10), (1066, 4), (1068, 6.5), (1070, 4.5), (1073, 10), (1075, 5), (1081, 2), (1084, 5), (1086, 7), (1087, 5), (1093, 5), (1099, 8)]
on	[(1051, 45), (1052, 14), (1053, 2), (1054, 24), (1056, 44), (1057, 4), (1058, 17), (1060, 25), (1062, 1), (1063, 9), (1064, 25), (1065, 43), (1066, 18.5), (1067, 4), (1068, 31.5), (1070, 1), (1072, 26), (1073, 41), (1074, 26), (1075, 39.0), (1076, 25), (1078, 25), (1079, 12), (1081, 1), (1082, 26), (1084, 39.0), (1085, 2), (1086, 17), (1087, 29.5), (1088, 7), (1089, 7), (1090, 25), (1091, 26), (1092, 14.0), (1093, 19.5), (1095, 26), (1096, 23), (1098, 3), (1099, 28), (1100, 24)]
aw	[(1051, 10), (1052, 8), (1053, 2), (1054, 1), (1056, 10), (1058, 11), (1065, 9), (1066, 4), (1073, 9), (1075, 5), (1084, 5), (1086, 8), (1087, 5), (1093, 13), (1098, 1), (1099, 4)]
submiss	[(1051, 3), (1052, 3), (1054, 6), (1056, 3), (1058, 2), (1060, 1), (1065, 2), (1066, 4), (1068, 4), (1073, 3), (1074, 1), (1075, 3), (1078, 1), (1079, 2), (1082, 1), (1084, 3), (1085, 2), (1086, 2), (1087, 3), (1091, 1), (1093, 4), (1095, 1), (1096, 2), (1099, 1), (1100, 1)]
demonstr	[(1051, 6.5), (1056, 6.5), (1058, 2), (1065, 4), (1066, 3), (1073, 4), (1075, 5.5), (1084, 5.5), (1086, 2), (1087, 5.5), (1093, 5.5), (1099, 5)]
grade	[(1051, 7), (1052, 5), (1054, 2), (1056, 7), (1057, 10), (1058, 3), (1060, 8), (1064, 22.5), (1065, 8), (1066, 5), (1068, 11.5), (1071, 7), (1072, 20), (1073, 7), (1074, 10), (1075, 4), (1076, 12), (1078, 8), (1079, 7), (1082, 10), (1084, 4), (1085, 2), (1086, 2), (1087, 3), (1089, 2), (1090, 22.5), (1091, 11.5), (1092, 1), (1093, 4), (1095, 10), (1096, 10), (1099, 6), (1100, 8)]
criteria	[(1051, 5), (1056, 5), (1058, 2), (1060, 1), (1065, 4), (1066, 4), (1073, 4), (1074, 1), (1075, 4), (1078, 1), (1082, 1), (1084, 4), (1086, 1), (1087, 3), (1091, 1), (1093, 4), (1095, 1), (1096, 1), (1099, 4), (1100, 1)]
if	[(1051, 16), (1052, 5), (1053, 2), (1054, 3), (1056, 16), (1057, 1), (1058, 13), (1060, 6), (1062, 11.5), (1063, 8), (1064, 7), (1065, 15), (1066, 7), (1068, 28), (1070, 7.5), (1072, 7), (1073, 14), (1074, 6), (1075, 12), (1076, 7), (1078, 6), (1079, 3), (1081, 6), (1082, 6), (1084, 12), (1086, 8), (1087, 14), (1088, 17), (1089, 2), (1090, 7), (1091, 6), (1092, 7), (1093, 12), (1095, 5), (1096, 6), (1099, 24), (1100, 5)]
you	[(1051, 54.5), (1052, 17), (1053, 2), (1054, 17), (1056, 54.5), (1057, 2), (1058, 42), (1060, 33), (1062, 18.5), (1063, 25), (1064, 33), (1065, 52), (1066, 21.5), (1068, 66.0), (1070, 14.5), (1072, 34), (1073, 54), (1074, 33), (1075, 30), (1076, 32), (1078, 33), (1079, 10), (1081, 13), (1082, 33), (1083, 1), (1084, 30), (1086, 28), (1087, 29), (1088, 31), (1089, 6), (1090, 33), (1091, 33), (1092, 11), (1093, 40), (1095, 33), (1096, 32), (1098, 1), (1099, 55), (1100, 33)]
chose	[(1051, 2), (1054, 1), (1056, 2), (1065, 1), (1066, 2), (1068, 1), (1073, 1), (1099, 1)]
a	[(1051, 69), (1052, 13), (1054, 51), (1056, 69), (1057, 3), (1058, 60), (1060, 33), (1062, 11.5), (1063, 36), (1064, 21), (1065, 68), (1066, 20), (1068, 92.0), (1070, 8), (1072, 23), (1073, 56), (1074, 38.5), (1075, 32), (1076, 21), (1078, 33), (1079, 10), (1081, 8), (1082, 38.5), (1084, 32), (1085, 3), (1086, 37), (1087, 43), (1088, 91), (1089, 39), (1090, 25), (1091, 35.5), (1092, 37), (1093, 65), (1094, 4), (1095, 38.5), (1096, 38.5), (1099, 70), (1100, 36)]
differ	[(1051, 4), (1053, 1), (1054, 1), (1055, 1), (1056, 4), (1058, 2), (1059, 1), (1060, 2), (1061, 1), (1062, 2), (1064, 2), (1065, 3), (1066, 2), (1067, 1), (1068, 1), (1069, 1), (1070, 2), (1072, 2), (1073, 3), (1074, 2), (1075, 2), (1076, 2), (1077, 1), (1078, 2), (1081, 2), (1082, 2), (1083, 1), (1084, 2), (1087, 2), (1088, 2), (1089, 1), (1090, 2), (1091, 2), (1092, 4), (1093, 2), (1094, 1), (1095, 2), (1096, 2), (1097, 1), (1098, 1), (1099, 2), (1100, 2)]
domain	[(1051, 3), (1052, 1), (1056, 3), (1058, 4), (1065, 2), (1066, 3), (1073, 2), (1093, 6), (1099, 2)]
get	[(1051, 5.5), (1052, 2), (1054, 5), (1056, 5.5), (1058, 7), (1060, 4), (1063, 4), (1064, 3), (1065, 3), (1066, 1), (1068, 2), (1072, 3), (1073, 4), (1074, 3), (1075, 3), (1076, 3), (1078, 4), (1082, 3), (1084, 3), (1086, 6), (1087, 2), (1088, 2), (1090, 3), (1091, 4), (1093, 6), (1095, 3), (1096, 3), (1099, 4), (1100, 3)]
api	[(1051, 8), (1056, 8), (1065, 6), (1068, 5), (1073, 6), (1079, 2), (1088, 1), (1099, 3)]
post	[(1051, 7.5), (1052, 1), (1056, 7.5), (1060, 2), (1063, 5), (1064, 2), (1065, 5), (1066, 3), (1068, 1), (1072, 2), (1073, 5), (1074, 2), (1076, 2), (1078, 2), (1079, 1), (1082, 2), (1090, 2), (1091, 2), (1095, 2), (1096, 2), (1099, 2), (1100, 2)]
